Hechos del mes,Dialogo,Actualización,Estado,Motivo de fusión,Motivo de pase a latente,Motivo de pase a inactivo,Forma de resolución,NombreReportePDFModificado,FechaReporte,NumeroEdicion,GrupoID
"El 03 de julio el FOSBAM suscribe convenios con AgroRural, del Ministerio de Agricultura y, por otro lado, con el Ministerio de Vivienda para el fortalecimiento de capacidades en gestión y manejo de recursos naturales productivos y para el desarrollo de proyectos en saneamiento básico en las localidades pertenecientes a las provincias de Cotabambas y Grau. Por otro lado, el 08 de julio la Dirección General de Asuntos Ambientales Mineros del Vice Ministerio de Minas comunicó a la empresa Xstrata, mediante oficio, de la inspección y verificación por presuntas irregularidades en el proyecto minero. Funcionarios de Xstrata informaron que dicho oficio se sustenta en información errónea.",HAY DIÁLOGO,,Activo,,,,,reporte-65.pdf,31/07/2009,65,Grupo_278
". La reunión programada para el 18 de julio no se llevó a cabo. Los dirigentes de la Junta Directiva de la Comunidad de Fueramba se encuentran con orden de captura por la toma del acceso al campamento de la empresa minera Xstrata ocurrida en marzo pasado. La Asociación de Residentes en Lima dirigieron una carta al MEM exigiendo el retiro de las denuncias, mientras esto no ocurra no aceptarán ningún tipo de diálogo con la empresa. El jueves 17 de julio, en la ciudad del Cusco, se reunió el ahora Consejo Directivo del aporte social Las Bambas con la finalidad de adecuarse al reglamento del DL 996.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Reporte-53.pdf,31/07/2008,53,Grupo_278
". El 23 y 24 de julio se llevó a cabo un paro preventivo convocado por la Federacion Campesina de Cotabambas, siendo su reclamo principal que Proinversion y la mina Xstrata Copper se retiren del comite del Fideicomiso de la provincia. Ese día protestaron un promedio de 3,000 pobladores y comuneros de la zona de influencia de la explotacion minera, a las afueras del campamento minero de la empresa Xstrata Copper y en esos momentos se presentó ante ellos Jose Carbajal como funcionario de Energía y Minas de la ciudad de Lima y se acordar llamar a la capital de la República para que se constituya en Chalhuhuacho el dia 17 de julio una comision de alto nivel conformada por los los Ministros de Agricultura, Educación, Salud, Energía y Minas. Comisión que llegó a Chalhuhuacho el martes 17 y que estuvo conformada por los asesores de las carteras ministeriales antes mencionadas y que logro como resultado de la reunion llevada a cabo un acta con los pedidos de la poblacion hacia la comision como fueron los siguientes: 1) El retiro de Proinversion y la Mina Xstrata Copper del comite de Fideicomiso de la provincia de Cotabambas y Grau; 2) la construccion de un hospital en Chalhuahucho; 3) Instalación de una sucursal del Banco Agrario en la provincia de Cotabambas; 4) La implementación y modernizacion del Instituto de Chalhuahucho; y 5) Capacitacion y trabajo para los habitantes de la provincia de Cotabambas en la mina Xstrata Copper. Al termino de esta mesa de dialogo se acordó que los representantes de los diferentes ministerios deberan de dar respuesta como plazo máximo el día 17 de agosto del año en curso. Los dirigentes señalaron que si no se soluciona sus peticiones presentadas y acordadas en el acta de compromiso, la poblacion de Cotabambas acatara un paro indefinido, según puntualizo la profesora Adela Arcos Mansilla. La OD Apurímac se contactó con el alcalde distrital de Chalhuahuacho y secretario distrital de la Federación Campesina de Chalhuhuacho para recoger sus demandas y detalles de los hechos suscitados. Los alcaldes de los 6 distritos de Cotabambas estarán en Lima entre el 13 y 14 de agosto para entrevistarse con el Premier Jorge del Castillo y los ministros de Agronomía, Educación, Salud y Trasportes en el marco de las demandas plantedas en la reunión tras el paro preventivo.",,,Activo,,,,,conflictos_sociales41.pdf,31/07/2007,41,Grupo_278
"Se espera que durante el mes de junio se lleve a cabo una nueva sesión del Fondo Social Las Bambas (FOSBAM) donde podría tratarse la representatividad comunal en su asamblea general, a petición de los líderes comunales.",HAY DIÁLOGO,,Activo,,,,,Reporte-63.pdf,31/05/2009,63,Grupo_278
". Continúan en diálogo ambas partes. La reunión multisectorial programada para el 5 de junio, nuevamente ha sido postergada para la cuarta semana de junio. Es la tercera oportunidad en que se posterga. Por su parte los alcaldes de Grau y Cotabambas esperan la publicación del reglamento del DL 996.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-51.pdf,31/05/2008,51,Grupo_278
". El 26 de mayo se llevó a cabo un taller del Comité de Fideicomiso de la minera Las Bambas en Chalhuahuacho junto con el Gobierno Regional de Apurímac. Los dias 7 y 8 de mayo pasado se desarrollo en el distrito de Chalhuahuacho de la provincia de Cotabambas de la region Apurimac, el Evento sobre Evaluacion de Impacto Ambiental, ""Sobre Perforaciones Mineras"", organizado por Cooperaccion, que conto con la asistencia de autoridades y pobladores del referido distrito. La primera semana de junio se llevará a cabo la reunion del Fideicomiso de la provincia de Cotabambas. A fines de junio se debe llevar a cabo el congreso Macro regional de Corecami (Coordinacion Regional de Comunidades Afectadas por la Minería), que se desarrollará en la provincia Cotabambas.",,,Latente,,,,,conflictos_sociales39.pdf,31/05/2007,39,Grupo_278
"El 05 de marzo se realizó el Primer Taller del EIA del proyecto Las Bambas, en el que participaron representantes de las comunidades del entorno del proyecto Las Bambas y la empresa Xstrata.",HAY DIÁLOGO,,Activo,,,,,conflictos_reporte_61.pdf,31/03/2009,61,Grupo_278
". El 11 de marzo por la mañana, autoridades comunales de Fuerabamba con el apoyo de la congresista Hilaria Supa realizaron una conferencia de prensa en la sala Mohme del Congreso de la República, para dar a conocer el incumplimiento de compromisos de la empresa minera Xstrata. Ese mismo día, por la tarde, se reunieron con el Viceministro de Minas Juan Isasi, y acordaron realizar una reunión multisectorial el 28 de marzo en la localidad de Challhuahuacho. El 25 de marzo el Viceministro comunica al Presidente de la Comunidad de Fuerabamba que no podrá asistir debido a la existencia de algunas restricciones al libre tránsito en la zona de influencia del proyecto minero Las Bambas10. El 26 de marzo se reúnen en la municipalidad de Chalhuahuacho el alcalde provincial de Cotabambas y el alcalde distrital de Challhuahuacho, con el fin de interceder a las demandas de incremento de salarios de la comunidad de Fuerabamba (de 25 a 50 nuevos soles). El día 27, en asamblea comunal, se decide realizar una reunión con las autoridades del gobierno central el 10 de abril. El día 29, se reunieron representantes de la comunidad y la empresa. En esta reunión, la empresa se comprometió en entregar un tractor agrícola, trabajo para 233 comuneros (100 puestos permanentes y 123 rotativos), aumentar el salario de 25 a 30 nuevos soles, crear oportunidades de trabajo para comuneras de la tercera edad y donar tres computadoras para la comunidad de Fuerabamba.",,,Activo,,,,,conflictos_sociales49.pdf,31/03/2008,49,Grupo_278
"El 21 y 22 de enero se reunieron representantes de la empresa minera Xstrata Copper, el Gerente General del Gobierno Regional de Apurímac y el alcalde distrital de Chalhuahuacho en la comunidad de Fuerabamba. En la reunión la comunidad aceptó la propuesta de reasentamiento, pero sin definir aún la zona geográfica donde se reasentará. La comunidad ha creado un comité de negociación de Fuerabamba para el proceso de reasentamiento.",HAY DIÁLOGO,,Activo,,,,,reporte-71.pdf,31/01/2010,71,Grupo_278
La comunidad campesina de Fuerabamba y sus 13 anexos se encuentran evaluando el planteamiento de reasentamiento que Xstrata ha propuesto.,HAY DIÁLOGO,,Activo,,,,,reporte_conflictos_59_enero2009.pdf,31/01/2009,59,Grupo_278
". El 19 de enero del 2008 se realizó en la ciudad de Abancay la primera Sesión del comité del FIDEICOMISO del proyecto minero las Bambas, con la participaron del alcalde de la provincia de Cotabambas Darío Chaucha (Presidente del comité ejecutivo), el Presidente de la Región Apurímac, David Salazar Morote, el alcalde Provincial de Grau, el alcalde distrital de Curasco, el alcalde Distrital de Progreso (ambos de la provincia de Grau), el alcalde distrital de Chalhuahuacho y el alcalde distrital de Coyllurqui (ambos de la provincia de Cotabambas). El Presidente del comité ejecutivo expuso el trabajo que realizó en el año 2007 y los problemas que sostuvo en la gestión económica, además criticó el trabajo de Proinversion y mencionó el paro desarrollado por la Federación Provincial Campesina de Cotabambas. También manifestó que Proinversion debía de retirarse del comité del FIDEICOMISO. Luego los miembros asistentes resolvieron los siguientes puntos: 1) Se dispuso la priorización de los proyectos que consideren los integrantes de la comunidad campesina de Fuerabamba y sus 13 caseríos y constituir una comisión técnica para ver la factibilidad de los proyectos que favorecen más a la comunidad. 2) La Gerencia del Comité del Fideicomiso deberá de asignar los nombres de los proyectos y sus respectivos montos (costos) de conformidad a los procedimientos de las normas vigentes y a su vez transferir a la administración de los municipios distritales y provinciales. 3) La sesión de consejo del comité aprobó por mayoría que la empresa Xstrata Copper sea quien administre los fondos del comité del Fideicomiso de las Bambas, pero que para su administración no se deberá de utilizar los fondos del Fideicomiso, sino Xstrata deberá de utilizar sus propios recursos. 4) Se planteó la liquidación total del fondo que resta del Fideicomiso (s/. 45.000,00 millones de soles) y que deberá de ser distribuido entre las provincias y distritos comprendidos dentro del proyecto minero las Bambas. En vista que este punto no se llego a un consenso, se dispuso que en la próxima sesión se decida la forma de distribución.",,,Activo,,,,,conflictos_sociales47.pdf,31/01/2008,47,Grupo_278
No se registraron acciones de diálogo en el mes de noviembre.,HAY DIÁLOGO,,Activo,,,,,reporte-69.pdf,30/11/2009,69,Grupo_278
La empresa minera Xstrata ha presentado una propuesta de Reasentamiento de la comunidad. Esta aún no da respuesta.,HAY DIÁLOGO,,Activo,,,,,reporte-conflictos-57.pdf,30/11/2008,57,Grupo_278
". El 25 y 26 de octubre se desarrollo el III foro regional sobre minería en apurimac, evento realizado en Abancay, que congrego la participación de diversas empresas mineras, autoridades regionales, provinciales y delegados de comunidades campesinas. Tambien estuvieron presentes funcionarios de otros departamentos como Puno y Cusco del Ministerio de Energia y Minas. Entre sus conclusiones señalan que el evento constituye un puente que permitirá hallar puntos de consenso entre las compañías extractoras de minerales y las comunidades, a través del dialogo. En este foro participaron las organizaciones campesinas de las provincias de Cotabambas y Aymaraes, que estuvieron como ponentes y panelistas. Para la primera semana de noviembre los representantes de la Federación Campesina de Cotabambas tienen previsto realizar una conferencia de prensa en la ciudad de Abancay, para dar a conocer la posición respecto al informe que realizo el Ministro de Energía y Minas y algunos Vice Ministros de las carteras de Agricultura, Educacion, Salud y un representante del Ministerio de Transportes, presentado el 06 de setiembre 2007 que reafirma el papel de PROINVERSION como administrador del Comité del Fideicomiso de las Bambas.",,,Activo,,,,,conflictos_sociales45-CS.pdf,30/11/2007,45,Grupo_278
"En septiembre, el Centro Nacional de Salud Ocupacional y Protección del Ambiente para la Salud (CENSOPAS) presentó el ""Estudio línea base en salud en comunidades aledañas al proyecto minero Las Bambas"". Por otro lado, los denunciados Eduardo Huachaca Huillca, Teofilo Vargas Matqque y Cirilo Huachaca Huamaní recibieron sentencia absolutoria por el delito contra la tranquilidad pública, por disturbios y por daños al patrimonio, en agravio a la empresa minera Xstrata Perú.",HAY DIÁLOGO,,Activo,,,,,conflictos-67.pdf,30/09/2009,67,Grupo_278
". Actualmente las negociaciones de reubicación están paralizadas, en vista de que los comuneros de Fuerabamba se niegan a ser trasladados a la provincia de Chumbivilcas de la región Cusco. Varios comuneros de Fuerabamba, se encuentran procesados por el supuesto delito Contra la Tranquilidad Pública. Ninguna autoridad ha asumido la defensa legal de los dirigentes inculpados en el proceso penal.",HAY DIÁLOGO,,Activo,,,,,reporte-conflictos-55.pdf,30/09/2008,55,Grupo_278
". El 01 de octubre los representantes de la Federacion Campesina de Cotabambas tienen previsto realizar una conferencia de prensa en la ciudad de Abancay, para dar a conocer la posición respecto al informe que realizo el Ministro de Energía y Minas y algunos Vice Ministros de las carteras de Agricultura, Educacion, Salud y un representante del Ministerio de Transportes, presentado el 06 de setiembre 2007 que reafirma el papel de PROINVERSION como administrador del Comité del Fideicomiso de las Bambas.",,,Activo,,,,,conflictos_sociales43.pdf,30/09/2007,43,Grupo_278
No se registraron acciones de diálogo en el mes de junio.,HAY DIÁLOGO,,Activo,,,,,reporte-64.pdf,30/06/2009,64,Grupo_278
"El 10 de marzo se reunieron la comunidad de Fuerabamba y representantes de la empresa minera Xstrata Copper en la comunidad campesina de Chila, donde la comunidad decidió como zonas de reasentamiento las comunidades de Chila y Choccere, ubicados en el distrito de Chalhuahuacho, para uso de viviendas.",HAY DIÁLOGO,,Activo,,,,,Reporte-73.pdf,31/03/2010,73,Grupo_278
"La empresa Xstrata Copper, informó que luego de suscribirse el acuerdo de reasentamiento con la comunidad de Fuerabamba, se ha conformado la comisión de reasentamiento compuesto por comuneros y organizado en 02 sub comisiones: 1. Comisión de Viviendas (Urbanización); y 2. Comisión de Tierras. Por otro lado, la empresa Golder Associates Perú viene elaborando la evaluación de Impacto Estudio Ambiental para que en un plazo de 02 meses sea presentado al Ministerio de Energía y Minas.",HAY DIÁLOGO,,Activo,,,,,Reporte-74.pdf,30/04/2010,74,Grupo_278
"El 14 de mayo la Federación Campesina y el Frente de Defensa de los Intereses de Chalhuahuacho, iniciaron un paro de 72 horas que se convirtió en un paro indefinido, al día siguiente se produjo un enfrentamiento entre los comuneros y la PNP, con un saldo de 11 heridos. El 19 de mayo el alcalde distrital y el Secretario General de la Federación Campesina informan al Jefe de Región PNP Apurímac, la suspensión del paro indefinido hasta el día 10 de junio, señalando que se conformó una comisión de diálogo para convocar a una reunión multisectorial y dar solución al conflicto. El 02 de junio del 2011, se suscribió un acta de acuerdos entre los pobladores y la empresa; según refiere esta última, con este acuerdo se permitirá el normal desarrollo de las actividades en la zona y continuar con la implementación de proyectos sociales, sobre el tema del empleo local la empresa señala que este tema mejorará debido a que la empresa se encuentra próxima a iniciar la etapa de construcción. Se espera la implementación de dichos acuerdos.",HAY DIÁLOGO,CASO NUEVO,Activo,,,,,Reporte-87-mayo-2011.pdf,31/05/2011,87,Grupo_1237
"El 02 de junio se realizó una reunión en la Municipalidad Distrital de Cotabambas, en la que participaron las autoridades locales, comunales, organizaciones sociales de Chalhuahuacho y el Gerente General del Proyecto Minero Las Bambas. Se abordaron los temas de la plataforma de lucha de las comunidades y se llegaron a acuerdos referidos a puestos de trabajo para los pobladores de las comunidades, también en temas de salud, educación, transportes. Respecto de los heridos la empresa se comprometió a asumir los gastos de curación de los afectados. El Secretario General de la Federación Campesina de Chalhuahuacho, al no estar de acuerdo con los puntos convenidos, no suscribió el acta.",HAY DIÁLOGO,,Activo,,,,,Reporte-88.pdf,30/06/2011,88,Grupo_1237
No se registraron acciones de diálogo en el mes de julio. El 13 de julio la Presidenta del Frente de Defensa de los Intereses de Chalhuahuacho informó que varios pobladores de las comunidades han sido comprendidos en la investigación que viene realizando la Fiscalía Provincial de Tambobamba por los hechos ocurridos durante el paro indefinido en el mes de mayo del 2011.,HAY DIÁLOGO,,Activo,,,,,Reporte-89.pdf,31/07/2011,89,Grupo_1237
". Nuevamente la reunión multisectorial programada para el 5 de junio se ha postergado para el 18 de julio. Esta es la cuarta vez que se viene postergando el evento. Los dirigentes de la Federación Provincial de Campesinos de Cotabambas, programaron una movilización para el 24 de junio (día del campesino), la que no se llevó a cabo.",HAY DIÁLOGO,,Activo,,,,,conflictos_sociales52.pdf,30/06/2008,52,Grupo_278
. No se registran hechos recientes.,,,Latente,,,,,conflictos_sociales40.pdf,30/06/2007,40,Grupo_278
"Del 19 al 21 de abril se llevó a cabo un paro provincial en Cotabambas. El 20 de abril se realizó un taller informativo con participación de funcionarios de agricultura, educación, salud, transportes y energía y minas. La Federación Provincial Campesina de Cotabambas informó la suspensión de la medida de protesta. El 25 de abril el Primer Ministro, junto a los Ministros de Salud y de Energía y Minas, y el vice Ministro de Agricultura llegaron al distrito de Chalhuahuacho y fue recibido por el Presidente Regional de Apurímac, autoridades locales y comunales para informar sobre las conclusiones de las mesas de trabajo.",HAY DIÁLOGO,,Activo,,,,,conflictos-62.pdf,30/04/2009,62,Grupo_278
". El jueves 10 de abril se reunieron en Cusco, representantes de la PCM, DGGS y de la comunidad de Fuerabamba, allí se acordó realizar la reunión multisectorial el 5 de junio. Los integrantes del Fideicomiso se reunieron el viernes 11 abril, para tratar el DL 996. Acordaron viajar a Lima para participar en el proceso de reglamentación, para lo cual formaron una comisión integrada por los alcaldes de Grau y Tambobamba.",HAY DIÁLOGO,,Activo,,,,,conflictos_sociales50.pdf,30/04/2008,50,Grupo_278
. No se registran acciones recientes.,,,Latente,,,,,conflictos_sociales38.pdf,30/04/2007,38,Grupo_278
No se registró acciones de diálogo en el mes de noviembre. La Empresa Xstrata en junio de 2011 asumió el compromiso de proporcionar 12 puestos de trabajo rotativo a las 27 comunidades beneficiadas. Los representantes de la comunidad cuestionan el cumplimiento de este compromiso. Por su parte la empresa refiere que los días 15 de cada mes remite un reporte a la Municipalidad de Chalhuahuacho sobre los comuneros que ingresan a laborar.,HAY DIÁLOGO,,Activo,,,,,Reporte-conflictos-93.pdf,30/11/2011,93,Grupo_1237
"Los representantes de la empresa Xstrata y el Alcalde de Chalhuahuacho se reunieron para evaluar el cumplimiento de los acuerdos en relación a los puestos de trabajo, donde se precisó el compromiso de la empresa, de acuerdo al acta suscrita en su oportunidad. Asimismo, se inauguraron los viveros forestales en los que trabajaron los comuneros beneficiados con el acuerdo de puestos de trabajo. Se están evaluando actualmente los proyectos que la empresa Xstrata ejecutará en los próximos meses y continuará incluyendo a las comunidades con plazas de trabajo.",HAY DIÁLOGO,,Activo,,,,,Reporte-de-conflictos-N-94.pdf,31/12/2011,94,Grupo_1237
"El Director Regional de Trabajo realizó una visita de inspección a la obra de construcción de la nueva ciudad de Fuerabamba, en el Distrito de Chalhuahuacho. El Director Regional de Trabajo, los trabajadores cuyos contratos han culminado y los representantes de la Empresa Graña y Montero se reunieron para tratar el tema de denuncias por despidos intempestivos, luego de que se verificara que 200 trabajadores han culminado sus labores y no habrían sido despedidos ilegalmente. La empresa Graña & Montero en coordinación con Xstrata está contratando nuevamente a los trabajadores en otras labores específicas.",HAY DIÁLOGO,,Activo,,,,,Reporte-de-Conflictos-Sociales-N-96-Febrero-2012.pdf,29/02/2012,96,Grupo_1237
No se registran acciones de diálogo durante el mes de marzo.,HAY DIÁLOGO,,Activo,,,,,Reporte-de-Conflictos-Sociales-N-97-Marzo-2012.pdf,31/03/2012,97,Grupo_1237
"El gobernador distrital de Challhuahuacho, informa que la empresa Graña y Montero ha despedido aproximadamente a 500 trabajadores. Funcionarios de Relaciones Comunitarias de Xstrata Las Bambas señalan que, en el marco de la reconstrucción de viviendas de la Urbanización Nueva Fuerabamba, se contrató personal temporal por fases. En ese sentido, señalan que, en efecto, alrededor de 500 trabajadores habrían sido liquidados al concluir dicha fase. Señalan además que en unas semanas se estarían iniciando nuevas fases de trabajo, en las que -previa evaluación-, estarían contratando nuevamente a un sector de estos trabajadores.",HAY DIÁLOGO,,Activo,,,,,Reporte-de-Mensual-Conflictos-Sociales-N-100-Junio-2012.pdf,30/06/2012,100,Grupo_1237
"Con relación al proceso de aprobación del estudio hídrico el ALA envió el documento en el que la CC. Fuerabamba sustenta y levanta las observaciones planteadas en la oposición a la solicitud de aprobación de estudios de aprovechamiento hídrico sobre las aguas del río Yuracmayo. Dicho documento se remitió el 22 de mayo con oficio Múltiple Nº 009-2012- ANA-ALA MEDIO APURIMAC-PACHACHAC dirigido a los presidentes de las comunidades campesinas de Choaquere, Fuerabamba, al Gobernador y al Alcalde distrital. Así mismo, refirió que administrativamente este proceso estaría ya con opinión favorable para emitir la resolución de aprobación de dicho estudio. El 21 de junio el alcalde de la Municipalidad Distrital de Challhuahuacho, refirió que luego de la reunión sostenida entre la empresa minera Xstrata y la comunidad de Choaquere no habría mayores acciones de oposición, confirmando la recepción del documento enviado por el ALA. Por su parte, el Gobernador del distrito señaló que para la comunidad de Choaquere el proceso y la información en torno a ésta, no estaría clara y que de darse su aprobación podrían ocurrir manifestaciones de protesta. Asimismo, el inspector del ALA señaló que luego de la última reunión que sostuvieron en la comunidad, uno de los compromisos fue el de realizar reuniones y/o talleres para socializar la Ley de Recursos Hídricos y la Formalización de usuarios de agua. Para ello, las autoridades comunales o distritales debían cursar una comunicación escrita al ALA. Sin embargo, la realización de estas reuniones o talleres no son una condición para la emisión de algún acto administrativo de aprobación del estudio hídrico, el cual se emitiría en base a la solicitud, a las inspecciones realizadas por el ALA, a las observaciones y al levantamiento de estas. La resolución de aprobación aún no ha sido emitida.",HAY DIÁLOGO,,Activo,,,,,Reporte-de-Mensual-Conflictos-Sociales-N-100-Junio-2012.pdf,30/06/2012,100,Grupo_1444
"El 18 de junio el presidente de la comunidad campesina de Huancuire refiere que aproximadamente 100 pobladores de su comunidad se habrían constituido al sector de Itaña para identificar lugares donde podrían trabajar los pobladores como mineros artesanales, tal como lo vendrían haciendo los pobladores de Record Concaca y Pamputa. Justifican su accionar bajo el supuesto incumplimiento de compromisos y diálogo que no habrían prosperado con la empresa minera. Esto ha generado enfrentamientos con policías que brindan seguridad a la empresa.",NO HAY DIÁLOGO,CASO NUEVO,Activo,,,,,Reporte-de-Mensual-Conflictos-Sociales-N-100-Junio-2012.pdf,30/06/2012,100,Grupo_1445
No se registran acciones de diálogo en el mes de noviembre.,HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-105-Noviembre-2012.pdf,30/11/2012,105,Grupo_1237
El Juez de Paz de Fuerabamba informó que un sector de la población está cuestionando el abastecimiento de agua para Nueva Fuerabamba. Indica que las comunidades de alrededor no quieren compartir el recurso hídrico.,HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-105-Noviembre-2012.pdf,30/11/2012,105,Grupo_1444
No se registran nuevos acontecimientos.,NO HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-105-Noviembre-2012.pdf,30/11/2012,105,Grupo_1445
No se registran acciones de diálogo en el mes de diciembre.,HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-106-Diciembre-2012.pdf,31/12/2012,106,Grupo_1237
"Del 19 al 22 de diciembre la DESA- DIRESA ha realizado un monitoreo participativo en la comunidad. En Fuerabamba se están realizando estudios sobre saneamiento ambiental por representantes de la empresa contratista Graña y Montero quienes no invitarían a los dirigentes ni a la gobernación en los trabajos que viene realizando, lo que a decir del gobernador distrital está siendo mal visto por algunas autoridades y dirigentes.",HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-106-Diciembre-2012.pdf,31/12/2012,106,Grupo_1444
No se registran nuevos acontecimientos.,NO HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-106-Diciembre-2012.pdf,31/12/2012,106,Grupo_1445
El Gobernador Distrital de Chalhuahuacho señaló que ha tomado conocimiento que la empresa ha manifestado que hubo un error en los compromisos asumidos con los hoteleros y que algunos de ellos no se podrían cumplir. Señaló que el acta donde se establecen dichos compromisos también fue firmada por autoridades del distrito y que no se le podría desconocer. El relacionista comunitario de la empresa señala que la preocupación es que más adelante la empresa ya no pueda atender una mayor demanda de la asociación por la aparición de nuevos hospedajes.,HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-107-Ene-2013.pdf,31/01/2013,107,Grupo_1237
"Según el gobernador distrital de Chalhuahuacho, la comunidad de Choaquere no estaría conforme con la resolución del ALA y que el cuestionamiento se da en función de que Nueva Fuerabamba no está constituida ni como barrio, ni urbanización. Según dijo ahora Nueva Fuerabamba ya no quiere agua del cauce del río sino quiere captar el agua directamente del manante y que la comunidad de Choaquere se opone y se prevé que realizarán acciones para evitarlo. En otro aspecto, mencionó que se evaluará comunalmente sobre el ducto que pasará por Choaquere y que será construido para trasladar material minero hacia Espinar. Respecto a este tema el gobernador distrital indicó que las personas en Choaquere no quieren que el ducto pase por sus tierras y se prevé que se organizarán para hacer conocer su disconformidad. El Administrador Local del Agua ALA – Apurímac, indicó que no hay ningún problema con la comunidad de Choaquere, que los problemas suscitados eran por desconocimiento pero ya se habrían solucionado. Mencionó que se había llegado con la comunidad de Choaquere a un acuerdo donde ellos propondrían una fecha y hora para que el ALA pueda hacer una presentación respecto a la resolución emitida y aspectos referidos al tema de permiso y usos de agua. Refiere que dicho acuerdo no fue cumplido por la comunidad de Choaquere.",HAY DIÁLOGO,,Activo,,,,,Reporte-M.-de-Conflictos-Sociales-N-107-Ene-2013.pdf,31/01/2013,107,Grupo_1444
